R,surv_threshold,n_mites,correct_id
0.05,8,10,0.5136
0.1,8,10,0.4916
0.2,8,10,0.5
0.3,8,10,0.4952
0.5,8,10,0.5016
0.8,8,10,0.5716
1.0,8,10,0.9808
0.01,9,10,0.5028
0.05,9,10,0.4966
0.1,9,10,0.4948
0.2,9,10,0.5042
0.3,9,10,0.5062
0.5,9,10,0.496
0.8,9,10,0.517
1.0,9,10,0.9042
0.01,10,10,0.5046
0.05,10,10,0.5002
0.1,10,10,0.5044
0.2,10,10,0.4976
0.3,10,10,0.4878
0.5,10,10,0.5036
0.8,10,10,0.507
1.0,10,10,0.725
0.01,1,30,0.494
0.05,1,30,0.5354
0.1,1,30,0.6172
0.2,1,30,0.8056
0.3,1,30,0.9206
0.5,1,30,0.9556
0.8,1,30,0.9576
1.0,1,30,0.955
0.01,2,30,0.5016
0.05,2,30,0.5112
0.1,2,30,0.537
0.2,2,30,0.6648
0.3,2,30,0.8666
0.5,2,30,0.9956
0.8,2,30,0.9986
1.0,2,30,0.997
0.01,3,30,0.4962
0.05,3,30,0.4952
0.1,3,30,0.4928
0.2,3,30,0.5638
0.3,3,30,0.7388
0.5,3,30,0.9892
0.8,3,30,1.0
1.0,3,30,1.0
0.01,4,30,0.5084
0.05,4,30,0.4926
0.1,4,30,0.5038
0.2,4,30,0.5042
0.3,4,30,0.6248
0.5,4,30,0.9752
0.8,4,30,1.0
1.0,4,30,1.0
0.01,5,30,0.5046
0.05,5,30,0.5042
0.1,5,30,0.4908
0.2,5,30,0.51
0.3,5,30,0.5502
0.5,5,30,0.9268
0.8,5,30,1.0
1.0,5,30,1.0
0.01,6,30,0.4974
0.05,6,30,0.504
0.1,6,30,0.5048
0.2,6,30,0.4926
0.3,6,30,0.5132
0.5,6,30,0.8582
0.8,6,30,1.0
1.0,6,30,1.0
0.01,7,30,0.5104
0.05,7,30,0.4888
0.1,7,30,0.5022
0.2,7,30,0.506
0.3,7,30,0.5058
0.5,7,30,0.7908
0.8,7,30,1.0
1.0,7,30,1.0
0.01,8,30,0.4954
0.05,8,30,0.4962
0.1,8,30,0.5022
0.2,8,30,0.5116
0.3,8,30,0.4856
0.5,8,30,0.6984
0.8,8,30,1.0
1.0,8,30,1.0
0.01,9,30,0.4958
0.05,9,30,0.5074
0.1,9,30,0.5044
0.2,9,30,0.506
0.3,9,30,0.5042
0.5,9,30,0.6266
0.8,9,30,0.9998
1.0,9,30,1.0
0.01,10,30,0.4988
0.05,10,30,0.5044
0.1,10,30,0.497
0.2,10,30,0.5148
0.3,10,30,0.5052
0.5,10,30,0.5626
0.8,10,30,0.9996
1.0,10,30,1.0
0.01,1,100,0.5056
0.05,1,100,0.5744
0.1,1,100,0.7058
0.2,1,100,0.8572
0.3,1,100,0.8652
0.5,1,100,0.862
0.8,1,100,0.8618
1.0,1,100,0.8646
0.01,2,100,0.5024
0.05,2,100,0.5322
0.1,2,100,0.6526
0.2,2,100,0.9286
0.3,2,100,0.9798
0.5,2,100,0.9782
0.8,2,100,0.9826
1.0,2,100,0.9798
0.01,3,100,0.5092
0.05,3,100,0.499
0.1,3,100,0.5584
0.2,3,100,0.886
0.3,3,100,0.9926
0.5,3,100,0.9984
0.8,3,100,0.998
1.0,3,100,0.9982
0.01,4,100,0.492
0.05,4,100,0.5108
