time,n30,n100,n300,n1000
0.0,0.9079028091752959,0.7246548438932868,0.3805341160368128,0.03993116633793344
1.0,0.08786110991560127,0.23375842379727674,0.3682569263786824,0.12880955094970364
2.0,0.004109611406456467,0.03732574973113095,0.17759395840001332,0.20754851455093115
3.0,0.00012372959899859632,0.003933230800738734,0.056906158263351825,0.22272295840186226
4.0,2.694098368462312e-6,0.0003076785675811246,0.01362987258593986,0.1790755213803244
5.0,4.519109485105976e-8,1.905612286899343e-5,0.002602852592492973,0.11506987174215522
6.0,6.074040622625773e-10,9.73291588155765e-7,0.00041281589374335506,0.06155587797261568
7.0,6.717798367000082e-12,4.216080108287615e-8,5.592960738523773e-5,0.028196418318134388
8.0,6.230184157757718e-14,1.581021902340987e-9,6.607778472074987e-6,0.011289878736427953
9.0,4.912664729062913e-16,5.213378720382466e-11,6.915632193535221e-7,0.004014158443514978
10.0,3.3279170409389906e-18,1.5303710371499805e-12,6.49173744950395e-8,0.0012832292067171702
