time,pRRmu,pRRsd,pSSmu,pSSsd
1.0,7.89309301526506,4.915155682312496,99.6784582414453,0.372609557818098
1.1,8.139976082497292,4.981767347630963,99.69063182147758,0.3592408890862101
1.2,8.394919046339147,5.04872166209666,99.70229586817123,0.3465005403220446
1.3,8.658169229412719,5.1159840368822564,99.71347341189046,0.3343533472483161
1.4,8.929979029491545,5.183518653100732,99.72418638397849,0.32276634283376804
1.5,9.210605753372054,5.25128860188047,99.73445567034432,0.3117086123765954
1.6,9.500311416707735,5.319256053050384,99.74430116255691,0.30115115797842784
1.7,9.799362506819415,5.387382455187337,99.7537418065342,0.2910667719044966
1.8,10.108029705350909,5.455628769845979,99.76279564891666,0.2814299183286337
1.9,10.426587567503136,5.523955742820824,99.77147988121528,0.27221662297077204
2.0,10.755314154455162,5.592324215271033,99.77981088182416,0.2634043701481652
2.1,11.094490615471,5.660695477457877,99.7878042559869,0.25497200677829907
2.2,11.44440071610123,5.729031667689132,99.7954748738045,0.24689965289051083
2.3,11.805330308823144,5.797296218817936,99.80283690637131,0.2391686182237909
2.4,12.177566742428326,5.865454354288419,99.80990386012331,0.23176132450953388
2.5,12.561398206467846,5.933473635237536,99.81668860947987,0.22466123305961272
2.6,12.957113007110525,6.001324559531472,99.82320342785954,0.2178527773016965
2.7,13.364998770865387,6.06898121281427,99.82946001714582,0.211321299924946
2.8,13.785341572774767,6.13642197065413,99.83546953567743,0.20505299431985696
2.9,14.218424985907248,6.203630249667761,99.84124262483414,0.1990348500159564
3.0,14.664529049279741,6.27059530406571,99.84678943428689,0.19325460184018606
3.1,15.123929151724175,6.337313062375116,99.85211964597798,0.18770068253701438
3.2,15.596894829696724,6.40378699714958,99.85724249689376,0.1823621786086503
3.3,16.083688477615535,6.470029018264676,99.86216680069093,0.17722878915007936
3.4,16.584563970015274,6.536060377928128,99.86690096823317,0.17229078746908408
3.5,17.09976519563263,6.601912572824971,99.87145302709325,0.16753898529591274
3.6,17.629524504492707,6.667628225905739,99.87583064007336,0.16296469940086628
3.7,18.174061070158128,6.733261927265473,99.88004112279289,0.15855972045082223
3.8,18.733579170534124,6.79888101043205,99.8840914603918,0.1543162839476153
3.9,19.30826639199419,6.864566237289118,99.8879883233942,0.15022704310231882
4.0,19.89829176310079,6.930412361935141,99.89173808277566,0.14628504350983898
4.1,20.503803825835995,6.996528541188166,99.8953468242747,0.1424836994978883
4.2,21.12492865401878,7.063038557375561,99.89882036198738,0.13881677203338985
4.3,21.76176783045134,7.130080817712836,99.9021642512819,0.1352783480777359
4.4,22.414396396286097,7.197808094205536,99.90538380106827,0.13186282129008361
4.5,23.0828607881096,7.266386968839185,99.90848408545594,0.1285648739850974
4.6,23.767176780266624,7.335996951081783,99.91146995483118,0.1253794602582483
4.7,24.467327451957082,7.406829238613344,99.91434604638414,0.12230179019801214
4.8,25.183261200585093,7.479085097872696,99.91711679411368,0.11932731511008254
4.9,25.914889824672123,7.552973848561717,99.91978643833673,0.11645171368407008
5.0,26.66208670130889,7.628710445670653,99.92235903472823,0.11367087903814327
5.1,27.42468508455449,7.706512663779078,99.92483846291525,0.11098090658167338
5.2,28.20247655233174,7.7865979011194195,99.92722843464824,0.1083780826402196
5.3,28.995209630153294,7.869179634814387,99.92953250157142,0.10585887379117123
5.4,29.802588620376632,7.954463573345893,99.93175406261236,0.10341991686202702
5.5,30.624272665566952,8.042643567105072,99.93389637101076,0.10105800954671539
5.6,31.459875073884916,8.133897352151683,99.9359625410044,0.09877010159851694
5.7,32.30896293315747,8.228382215366663,99.9379555541901,0.0965532865610833
5.8,33.17105703838946,8.326230680290388,99.93987826557601,0.0944047940017657
5.9,34.04563215489677,8.427546321404394,99.94173340934105,0.09232198221399467
6.0,34.93211763596716,8.532399819806399,99.94352360431627,0.09030233135777774
6.1,35.82989840998353,8.640825374622308,99.94525135920236,0.08834343700956267
6.2,36.73831634729277,8.752817581709266,99.94691907753662,0.08644300409471849
6.3,37.65667201182075,8.86832888401396,99.94852906242194,0.08459884117774999
6.4,38.58422679659568,8.987267686338713,99.95008352102965,0.08280885508709776
6.5,39.520205436054965,9.109497211427126,99.95158456888817,0.08107104585297277
6.6,40.46379888141664,9.234835154633592,99.95303423396756,0.07938350193816575
6.7,41.414167518666396,9.363054171641922,99.95443446057058,0.07774439574315864
6.8,42.370444702041624,9.493883208628137,99.95578711303968,0.07615197936813409
6.9,43.33174056950367,9.627009657998673,99.9570939792894,0.0746045806156804
7.0,44.29714610079946,9.762082296604898,99.95835677417254,0.07310059921908997
7.1,45.26573737354707,9.898714938442298,99.95957714268859,0.07163850328216427
7.2,46.236579968536304,10.036490711579315,99.9607566630419,0.07021682591741077
7.3,47.20873347228484,10.17496685060198,99.96189684955773,0.06883416207037318
7.4,48.18125602295871,10.313679882162617,99.96299915546201,0.06748916551868663
7.5,49.15320884512613,10.452151072932548,99.96406497553284,0.06618054603518447
7.6,50.12366071947786,10.589892006659081,99.96509564862885,0.064907066705111
7.7,51.09169233557629,10.726410160001636,99.96609246010138,0.06366754138814477
7.8,52.05640047878691,10.861214354880662,99.96705664409532,0.06246083231654738
7.9,53.01690200666243,10.9938199774088,99.96798938574473,0.061285847821325734
8.0,53.97233757500865,11.12375386905101,99.96889182326801,0.060141540178822964
